president-year,start,end,president
lee-1,19880113,19890519,Lee
lee-2,19890520,19900519,Lee
lee-3,19900520,19910519,Lee
lee-4,19910520,19920519,Lee
lee-5,19920520,19930519,Lee
lee-6,19930520,19940519,Lee
lee-7,19940520,19950519,Lee
lee-8,19950520,19960519,Lee
lee-9,19960520,19970519,Lee
lee-10,19970520,19980519,Lee
lee-11,19980520,19990519,Lee
lee-12,19990520,20000519,Lee
chen-0,20000318,20000519,Chen
chen-1,20000520,20010519,Chen
chen-2,20010520,20020519,Chen
chen-3,20020520,20030519,Chen
chen-4,20030520,20040519,Chen
chen-5,20040520,20050519,Chen
chen-6,20050520,20060519,Chen
chen-7,20060520,20070519,Chen
chen-8,20070520,20080519,Chen
ma-0,20080322,20080519,Ma
ma-1,20080520,20090519,Ma
ma-2,20090520,20100519,Ma
ma-3,20100520,20110519,Ma
ma-4,20110520,20120519,Ma
ma-5,20120520,20130519,Ma
ma-6,20130520,20140519,Ma
ma-7,20140520,20150519,Ma
ma-8,20150520,20160519,Ma
tsai-0,20160116,20160519,Tsai
tsai-1,20160520,20170519,Tsai
tsai-2,20170520,20180519,Tsai
tsai-3,20180520,20190519,Tsai
tsai-4,20190520,20200519,Tsai
